mod_leaktest_no,serial PRIMARY KEY,primary key,,
module_no,INT,primary key in module_info table,fk_mod_pedtest,module_info
module_name,TEXT,Module serial number (no dashes) i.e. 320MLF2W2CM0001,fk_identifier,
status,INT,see status_desc for definition,,
status_desc,TEXT,Module status i.e. Completely Encapsulated,,
bias_vol,REAL,High voltage applied to silicon sensor,,
trim_bias_voltage,REAL,Bias voltage at which module was trimmed (usually 300V),,
meas_leakage_current,REAL,Leakage current measured during this test,,
comment,TEXT,,,
rel_hum,TEXT,Relative humidity measured inside test box,,
temp_c,TEXT,Temperature measured inside test box,,
trophy_board_name,TEXT,,,
date_test,DATE,,,
time_test,TIME,,,
inspector,TEXT,User who did the test (CERN username if possible),,
input_config_json,TEXT,yaml configuration used for this test,,
output_inputdac_json,TEXT,JSON string of yaml output of inputDAC scan,,
output_inputdac,SMALLINT[],InputDAC values outputted by inputDAC scan,,
cell_leakage_current_mua,REAL[],Estimate of channel-by-channel leakage current in microamps,,
pedestal_pre_inputdac,REAL[],pedestal value before the inputDAC scan,,
noise_pre_inputdac,REAL[],noise value before the inputDAC scan,,
pedestal_post_inputdac,REAL[],pedestal value after the inputDAC scan,,
noise_post_inputdac,REAL[],noise value after the inputDAC scan,,
cell,SMALLINT[],silicon cell number; identical to print on hexaboard,,
chip,SMALLINT[],"Chip ID (integer, not name)",,
channel,SMALLINT[],"channel on the corresponding chip, between 0 and 71 inclusive",,
channeltype,SMALLINT[],"0 for normal cell, 1 for calibration, 100 for common mode",,
xml_gen_datetime,TIMESTAMP,,,
xml_upload_success,BOOLEAN,,,

